,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,13.2,3,,,,,,5,,
2일,,,1.6,,,,2.3,,,104.6,,
3일,,,,,,0,0,,,0,,
4일,,0.2,,,0.1,,122.6,,,0,,
5일,0.7,4.9,,10.6,6.6,,18.1,,0.6,1.5,,
6일,,,,26.6,,0.5,1.5,,33,9,,
7일,0,,,,,18.3,1.5,0,11.8,,,
8일,4.6,0,,,,,1.8,0,,,,
9일,,0,,,20.6,,0.3,14.6,,,,
10일,,,,0,0.1,,7,,,,0,0.2
11일,,,,15.5,,0,1.5,0,264.1,0,,
12일,,,,,11.8,,,,,6.7,,
13일,0,0,,,,0,,0,,0.1,,
14일,,0,0,,,,,28.3,,,,
15일,,,,0,,,,6.1,,10.2,,
16일,,1.4,,,,,,4.7,0,0,,
17일,,2.4,,37.7,0,,0.5,,7.2,,0.3,
18일,,,,,,,7.5,0,,0,0,
19일,,,,,,,,,,,,
20일,0,1.4,6.3,0,,9.4,,0.7,,,,
21일,,,2.5,,,,,0.2,,,,
22일,,23.2,,0,,,,27.2,,,,
23일,,,,,,,,,,,,
24일,,,,,,0.1,3.7,0.7,,1.2,,10.4
25일,,,3.3,2.3,,,1.1,0,,,,
26일,,,3.9,9.4,,0,,,,,,
27일,,0.3,2.8,,,,,,18.3,,,
28일,,,,,,,,,,,,
29일,5.9,,2.1,,,21.1,,,,,,
30일,0.8,,,,,0.4,,,,,,
31일,,,0,,,,2.7,,,,,0
