,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,1.6,1.1,,,,,,13.7,,
2일,,,0.4,,,,33.6,0,,42.8,,
3일,,,,,,0,1.8,,,1,,
4일,,0.6,,,0.1,,50.2,,,0,,
5일,,6.3,,30,10.6,,12,,0,2.1,,
6일,,,,65.1,,2.7,3.9,,30.7,4.6,,
7일,0,,,,,14.2,3.8,,2.3,,,
8일,2.9,0,,,,,4.3,0,,,,
9일,,,,,13.7,,0,9,,,,
10일,,,,0,0,,0.5,0.4,,,0,2
11일,,,,10.6,,0,0.2,4.2,61.9,,,
12일,,,,,6,,,,,14.7,,
13일,0,,,,,0,,0.3,,,,
14일,,,,0,,,0.2,29.8,,,,
15일,,,,0,,,,5.2,,2.5,,
16일,,4,,,0,,,0.5,,0,,
17일,,1.3,,18,0,,2.4,0.6,0,,0,
18일,,,,0,,,5.5,53.8,,0,0,
19일,,0,,,,,,,,,,
20일,0,0.3,4.7,0,,14,,11.8,,,,
21일,,,2.3,,,0,,48.2,,,,
22일,0,30,,,,,,35.3,,,,
23일,,,,,,,,28.8,,,0,
24일,,,,,0.7,,29.4,0,,0,,13.2
25일,,,0.1,0,,,9.5,0,,,,
26일,,,5.2,3.4,,19.2,,,,,,
27일,,0,0,,,0,,,9.9,,,
28일,,,0,,,,,,,,,
29일,4.1,,5.6,,,8.6,0,0,,,,
30일,0.2,,,,,,0,,,,,
31일,,,0,,0,,5.1,,,,,0
