,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,0,0.2,,0,16.7,3.6,,5.9,,
2일,0,,3.1,,,0,7,,,9.2,,
3일,,,,,,,134.4,,,,0,0
4일,,,,,0,,30,,,,,0
5일,,0,0,10.8,0,,,,1.7,,,
6일,,,0,13.9,,6.9,26.4,,2.6,0.8,,1.5
7일,,,0.4,,,2.2,1.1,,,,0,1.3
8일,0,,0,,,,31.5,0,,,0,0
9일,0,0,,,3.7,,31.7,38.5,,,,0
10일,,2.3,,,1.8,,47.4,1.5,0,0,3,2
11일,,,,16.1,0,,4.5,0,32.9,6.8,,0
12일,0.1,,,,0,,,,,0.4,,
13일,0,3.1,,,0.5,,,0,,,0,
14일,,,,0,,,5.4,35,,,0.2,
15일,,,,,,,12.1,14.3,,,0,0
16일,,0,,,,,290.2,14,,,,0
17일,,1.5,,19.3,,,0.8,2.1,,,0.4,
18일,,,,1.4,,,0,0.7,,,,0
19일,0,6.5,,,,,,1.9,0,,,0
20일,1.9,8.6,0,0,,,,4.9,6.2,,0,0.8
21일,0.7,,0,,,0,,39.8,,,0,
22일,0.7,16.7,,,,,,0.1,,,0.1,
23일,,,,,0,,3.8,9.2,,,0,
24일,,,,,5.9,3.1,33,33.9,0,,2.4,12.8
25일,,,0.8,,,0,21.3,,,,0,0
26일,,,0,0,,0,,,0,,7.6,0
27일,2.1,,0,,,0.9,,,34.9,,,
28일,,,,,,4.4,50.9,25.7,,,,
29일,6.2,,,,,,1.8,,,,,
30일,0.3,,,,,,0,0,,,,1.4
31일,,,4.6,,,,39.1,,,,,1.3
