,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,1.2,0,,,117.8,,,2.8,,
2일,,,,,11,,54.1,,0,,,0
3일,,0,,,0,,0.1,,151.6,,,11.5
4일,,,21.7,14.1,,0,12.8,,6.2,,,14.1
5일,,,8.8,10,0,0,59.1,,,58.7,,
6일,,0,,16.3,15.7,,0.3,0,1.4,29.5,,1.3
7일,0,,5.2,0,0,,,,7.5,,0.3,0
8일,2.1,,8.9,,,,,,,,38.1,
9일,1.8,,0,,,0,23.2,0,,,0.3,
10일,4.2,,,12.4,,0,0,0,,0.2,,
11일,0,1.6,,2,,0,0,,,,0,1.6
12일,0,0,,,24.3,0,,0,,,,
13일,0,0.2,,0,1,,,,0,,,0
14일,,,,29.7,,0.7,,,1.4,,,
15일,,,8.5,,0,,,,0.3,,,
16일,1.7,,0,,0.4,,,,0,,,0
17일,6,,,,,,,,0,,,0
18일,0,,5.2,,17.2,,,,,0,,
19일,,,19.4,,0,0.1,,,0,,,
20일,,,0,,,0,,,0.3,,,
21일,,,2.4,,,,,0,34.6,,1,
22일,1.8,0,0.4,0.7,6.9,,,,,,,
23일,0,0.1,,44.6,15.5,,,0.9,0.7,1.9,,0
24일,,,,3.2,,,,17.6,,,6.2,
25일,,,,,,,,0,,,,
26일,,,,,,62.2,,29.6,,11.4,,
27일,,,,,,0.3,,74.8,,1,,
28일,0,28.7,,,,0,57.5,17.7,,6.7,,
29일,,,,,,,,,,0,,0
30일,,,,,0,0,,31.3,,,,0
31일,,,,,,,,76,,,,
