,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,0.5,5.5,,,0.5,7.5,,2.5,,
2일,,,5,,,,2.5,,,18,,
3일,,,,,,0,1.5,,,,0,
4일,,0,,,0,,0.3,,,,,
5일,,0.6,,4,15.5,,,,0.5,0.1,,
6일,,,,5,,1.5,,,6,6.5,,0
7일,,,,,,0.1,1.5,0,0.5,,,0
8일,,,,,,,6.5,0,,,,
9일,,,,,16.5,,,6,,,,
10일,,,,1.5,0.5,,0,24.5,0,,0,0
11일,,0,,17.5,,,,1,35.5,,,
12일,,,,,0.5,,,,,27,,
13일,0,0,,,0,2,,0,,,,
14일,,0,0,0,,0,10,65,,,,
15일,,,,,,,3,5.5,,0.2,,
16일,,0,,,,,0,10,,,,
17일,,0,,11,,,3.5,17.5,1,,,
18일,,,,4.5,,,,9,,0,0,
19일,,0.1,,,,,,16.5,,0,,0
20일,0.7,5.5,6,0.5,,3,,0.5,,,,
21일,,,3,,,1,,6,,,,
22일,1.5,19.5,,,,,17,0.2,,,,
23일,,,,,,,0,0,,,,
24일,,,,,0.1,0,11.5,1,,,0.1,11
25일,,,18.5,,,51.5,3.5,1,,,,
26일,,,4,3.5,,12,,,,,0,0
27일,0,,0.5,,,0.1,,,54,,,
28일,,,,,,,0,,,,,
29일,0.2,,0.4,,,0.1,30,0.1,,,,
30일,0.1,,,,,0.2,0.5,0,,,,
31일,,,0.5,,0,,13.5,,,,,0
