,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,0,0.1,1.1,,,14.4,9.2,,16.5,,
2일,,,2,,,0,39.5,,,3,,
3일,,,,,,0.2,69.9,,,,0.3,0
4일,,0,,,0,,34,,,,,0
5일,,0.5,,17,0,,,,0.8,,,
6일,,,0,15.9,,10.3,41.2,0,1.4,1.5,,2.5
7일,,,1.2,,,4.5,1.7,,,0,0,2
8일,0,,0,,,,61,0,,,0.7,
9일,0,0.1,,,7.3,,31,37.3,,,,0
10일,,0.2,,,2,,35,3.8,,,3.1,3
11일,0,0.5,,14.3,4.1,,0.8,0,77,6,,0.6
12일,0,,,,,,,,,1.3,,
13일,0.6,0.6,,,1.4,0,,1.4,,,0,
14일,0,,,0,,,1.9,65,,,0,
15일,,,,,,,24.5,34.4,,,0,
16일,,1.9,,,,,0.1,4.2,,,,0
17일,,1.9,,26.8,,,7.1,1.2,,,0.1,
18일,,,,0.5,,,0.9,0,,0,0,0
19일,,3.5,,,,,,10.2,0.5,,,0.5
20일,3.4,15.3,0.1,1.7,,,,2.7,0.7,,,1.8
21일,1.2,,0,,,0,,36.1,,,,
22일,0.5,17.5,,,,,,0.7,,,0.1,
23일,0,,,,,,1.2,2.1,,,2.1,
24일,,,,,11,2.8,0.7,49.8,0,,5.9,21.4
25일,,,0.9,0,,,27.6,,,,,
26일,,,0,0.4,,1.8,,,,,2.8,0.3
27일,2.3,,1.6,,,12.2,,,31,,,
28일,,,0.2,,,3.2,10.7,35.2,,,0,
29일,5.7,,1.6,,,0.3,2.1,,,,0,0
30일,1.3,,,,,,0,0.5,,,,0.9
31일,,,3.9,,3.5,,29.2,,,,,0.5
