,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,4.3,,,,0,0.5,,47.3,,
2일,0,,1.7,,,,13.1,4.8,,9.6,,
3일,,,,,,0,6.4,,,,1.2,
4일,,0.3,,,1,,1.8,,,,,0.3
5일,0,1.1,,25.9,10.2,,1.6,,3.8,7.6,,0
6일,0,0,,3.1,,5.5,16.6,3.1,24.5,8.3,,
7일,0,,1.5,,,0.5,0.1,,0.2,,,0.4
8일,1.2,0,0.3,,0,,45.2,0,,,0,0
9일,0,1.3,,0,11.8,,3.1,2.8,,,,
10일,,3.7,,0.2,2.1,,5.1,,0.1,,0.4,2.7
11일,0,0.2,,11,,0.8,0.7,,73.3,1.8,,0
12일,0.1,0,,,0,,,15.8,,7.7,,0
13일,0.1,,,,0,,,12.3,,,,
14일,0.3,,,0,,,6.8,34.9,,,,
15일,,,,0.7,,,44.4,4.4,,3.1,0,
16일,,6.1,,,,,,0.9,,0,,1
17일,,0.9,,10.7,,,10.8,0,,,0,0.4
18일,,,,0,,,12.5,4.7,,0,,0
19일,,0.1,,,,,,0,,,,0
20일,2.5,8.5,7.3,0.8,,7.7,,9.1,,,,0.8
21일,0.8,,0.5,,,,,89.1,,,,0
22일,1,19.7,,0,,,,10.2,,,0,
23일,0.1,,,,0,1.2,,,,,0.5,
24일,,,,,2.2,,,0.4,,0,0,22.5
25일,,0,11.4,7.5,,,1.3,80.7,,,,0
26일,,,,0.7,,13.6,,,0,,,0.2
27일,0.6,,3.2,,,0.3,,,6.9,,,
28일,,,1.1,,,8.9,,,,,0,
29일,4.6,,1.9,,,,0,6.7,,,,
30일,0.4,,,,,3.6,26.2,,,,,0.2
31일,,,0,,2.9,,15.9,,,,,0
