,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,1.1,0,0,,61.8,,,0,,
2일,,,,,4,,50.3,,,,,
3일,,0.3,0.1,0.1,0.2,,0,,19.7,,,6.6
4일,,,13.7,15.1,,,,,,,,5.8
5일,,,4.7,13.1,0,,0,,,17.3,,
6일,,,,7.3,20.7,,,0,0.2,50.4,,0
7일,,,2.1,,,,,,1.7,,2.5,
8일,0.9,,5.6,2.4,,,,,,,49.6,
9일,0.3,,,,,16.7,22.9,,,0.3,0,
10일,0.2,,,1.9,,3.2,8.8,,,18.8,0.5,
11일,,0.3,,,0,5.2,5,,,,0,
12일,0,0.1,,,24.6,1.2,0,,,,,
13일,0.7,,,,0.1,,,1.1,,,,3.6
14일,,,,6,,23.1,0,,0,,,
15일,0.2,,46.6,,,1.3,0,2.9,0.2,,,
16일,0,,,,28,,,,1.5,,,0.6
17일,,,,,53.2,,,,0,,,
18일,,,1,,6.5,,,,,0.6,,
19일,,,1.5,,,,,,0.2,,,
20일,,,,,,,,0,1.9,,1.3,
21일,,,2.2,,,,,27.2,13.6,,3.1,
22일,1.6,1.3,,15.1,13.7,,,0,7.1,,,
23일,,3.2,,49.9,5.3,,,3.5,0,6.8,,
24일,,,,1.3,,,,3.8,,,9.6,
25일,,,,,,,,,,,,0
26일,,,,,,90.3,,0,,15.6,,0
27일,,,,0,,0.2,,9.9,,,,
28일,,21.8,,,,2.4,0,127.3,,6.4,,
29일,,,,,2.5,0.4,,35.2,,0,0,
30일,0.6,,,0,0.1,,,4,,0,,
31일,0,,,,,,,0,,0,,
