,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,,,,,,,,,,
2일,,,,,,,,,,,,
3일,,0.8,,,,,,,,,,
4일,,,,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,0.3,,,,,,,,,
7일,,,3.8,,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,16.3,,,,,,,,
10일,,0.4,12.4,18.6,,,,,,,,
11일,,,,,,,,,,,,
12일,12.2,,0.7,0,,,,,,,,
13일,,,,,,,,,,,,
14일,,1,,,,,,,,,,
15일,,0.7,1.4,,,,,,,,,
16일,,,,,,,,,,,,
17일,,,,,,,,,,,,
18일,,,,,,,,,,,,
19일,,19.3,,0,,,,,,,,
20일,0,,4.1,,,,,,,,,
21일,,,0,,,,,,,,,
22일,,,,,,,,,,,,
23일,,0,0,1,,,,,,,,
24일,,,,7.1,,,,,,,,
25일,,,,0,,,,,,,,
26일,,,,6.3,,,,,,,,
27일,,0,,0.2,,,,,,,,
28일,,0.5,0,,,,,,,,,
29일,,,0.1,45.9,,,,,,,,
30일,,,4.8,0,,,,,,,,
31일,5.5,,,,,,,,,,,
