,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,0.5,,0,,83.5,,,0,,
2일,,,,,12,,59.5,,,,,
3일,,0.5,0,0.1,1,,0.1,,34.5,,,9.5
4일,,,11.5,18.5,,,,,,,,5
5일,,,3.5,10.5,,,0.5,2,,36.5,,
6일,,,,6.5,22,,,6.5,1,55.5,,0
7일,,,0.5,0.2,,,,,0.5,,2,
8일,0.9,,4,3,,,,,,,64,
9일,0.5,,,,,0.5,14,2,,0,1,
10일,0.3,,,5,,0.5,16.5,,,7,0,
11일,,0,,,,5,3,,,,0,
12일,0,0,,,32,0,1,5,,,,
13일,0.4,,,,0.5,0,,1,,,,1.3
14일,,,,9,,29,0,,0.5,,,
15일,0.2,,27,,0,16.5,,1,0.2,,,
16일,0,,,,45,,,,2,,,0.3
17일,,,,,83,,,,0.1,,,0.3
18일,0,,0.5,,6.5,,,,,,,
19일,,,1,,,,,,0.2,,,
20일,,,,,,,,0,5,,0.2,
21일,,,1,,,,,5,18,,1,
22일,3.3,0.4,,15.5,12.5,,,,6.5,,,
23일,,3.7,,59,6.5,,,3,0,5,,
24일,,,,3,,,,7.5,,,10.9,
25일,,,,,,,,,,,,
26일,,,,,,71.5,,2,,11,,
27일,,,,,,1,,19.5,,,,
28일,,25,,,,26.5,7.5,96.5,,5.5,,
29일,,,,,1,6.5,,42,,0,0,
30일,2.9,,,,0,14.5,,9.5,,0,,
31일,0,,,,,,,0.1,,0,,
