,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,0,,,,,,,,,,
2일,,0,,,,,,,,,,
3일,,22.7,,,,,,,,,,
4일,,,,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,,0,,,,,,,,
7일,,0,,,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,18.1,,,,,,,,
10일,,,,2.8,,,,,,,,
11일,,,2.7,0,,,,,,,,
12일,,0,,,,,,,,,,
13일,,,,,,,,,,,,
14일,,,,0.6,,,,,,,,
15일,0,2.6,2,,,,,,,,,
16일,0,0.1,,,,,,,,,,
17일,0.1,,,,,,,,,,,
18일,,,,0,,,,,,,,
19일,,8,,,,,,,,,,
20일,,0,23.6,0.1,,,,,,,,
21일,0,,4.6,0.8,,,,,,,,
22일,,,,,,,,,,,,
23일,,,1.5,,,,,,,,,
24일,,,,,,,,,,,,
25일,,,,,,,,,,,,
26일,,,,,,,,,,,,
27일,,,,,,,,,,,,
28일,0.4,,,,,,,,,,,
29일,,,,,,,,,,,,
30일,,,4.7,,,,,,,,,
31일,,,0.5,,,,,,,,,
