,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,,,,,,,,,,,,
2일,,,,,,,,,,,,
3일,,6.7,,,,,,,,,,
4일,,,0.9,,,,,,,,,
5일,,,,,,,,,,,,
6일,,,1.7,,,,,,,,,
7일,,,0.3,0,,,,,,,,
8일,,,,,,,,,,,,
9일,,,,10.9,,,,,,,,
10일,,1.5,19.7,14.5,,,,,,,,
11일,,,0,,,,,,,,,
12일,7.1,,0.3,0.9,,,,,,,,
13일,,,,,,,,,,,,
14일,,0.8,,0.1,,,,,,,,
15일,,1,4.7,,,,,,,,,
16일,,,,,,,,,,,,
17일,,,,,,,,,,,,
18일,,0,,,,,,,,,,
19일,0.1,28.7,,,,,,,,,,
20일,0,,8.3,,,,,,,,,
21일,,,2,,,,,,,,,
22일,,,,,,,,,,,,
23일,,0,0,4,,,,,,,,
24일,,,,10.8,,,,,,,,
25일,,,,0.4,,,,,,,,
26일,,,,5.1,,,,,,,,
27일,,0,,0,,,,,,,,
28일,,0.1,,,,,,,,,,
29일,,,,42,,,,,,,,
30일,,,2.8,0.2,,,,,,,,
31일,8.3,,,,,,,,,,,
