,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,2.7,3.3,7.4,16.3,18.3,21.6,24.5,30.3,21.6,17.9,11.5,10.4
2일,4.1,2.6,4.9,17.9,15.2,22.9,25.4,30,22.8,17.3,13.3,14.1
3일,2.6,-0.2,9.6,18.2,14.2,21.3,22.7,29.9,24.7,18.6,13.9,16.8
4일,2.8,-4.7,13.2,11.1,14.8,22.2,25,30.1,25.1,20.1,15.3,14.6
5일,4.1,-4.4,6.5,10.5,16.9,19.7,22.9,31.3,24.3,19.5,15.1,9.7
6일,3.1,-5.1,6.4,10.7,16.2,21.6,20.8,29.9,23.8,21.6,16.4,7.3
7일,5.4,-3.5,7.2,6.5,14.8,21.8,20,28.4,21.7,20.8,16.9,0.5
8일,5.8,0.8,4.9,8.8,14.2,22.8,19.7,27.9,21.3,18.6,16.8,-1.9
9일,1.9,6.1,4.8,13.6,13.2,21.2,20,28.4,22.3,18.1,14.3,-0.5
10일,-0.7,6.4,7.6,14.9,14.3,19.3,24,26.7,21.5,17.1,14.2,4
11일,-4.6,-1.1,9.7,18.7,17.1,17.2,26.6,27.3,21.2,13.3,14.4,5.8
12일,-4.8,-0.8,11.2,16.3,17.8,18.3,27.4,28.8,23.2,13.9,12.6,2.9
13일,-0.2,1.8,13.3,13.7,19.2,19.6,27,30.9,21.8,16.1,12.8,3.2
14일,3.5,8.5,15.3,12.5,20,19.9,27.6,29.9,21.8,17.1,12.7,1.2
15일,9.3,7.8,14.3,13.9,21.4,19.3,27.2,28.6,22.6,17.2,13.3,4
16일,8.8,6.6,5.3,12.8,20.7,18.5,27.1,26.2,24.9,16.1,12.7,4.7
17일,6.4,4.1,6.6,13.9,20.9,20.9,27.6,25.2,23.8,16.5,12.4,5.9
18일,7.2,4.8,10.7,15.3,16.3,22.8,28.1,25,24,15.9,10.3,5.6
19일,6,7,9.6,15.8,14.7,21.6,29.1,25.3,23.2,15.5,11.1,9.6
20일,5.2,8.3,5.7,18.8,15.4,22.8,29.6,26.2,20.6,15.5,10.2,10.3
21일,6.5,5.3,2.9,18.9,17.2,24.7,29.2,28.6,20.7,16.2,10.9,11.9
22일,6.1,4.2,6.8,17.1,18,24,29.7,29.8,22.4,17.1,7.5,12.5
23일,-1.3,6.8,9.6,11.8,18.1,23,29.5,28,22.3,18,6.1,8.8
24일,-6.7,8.6,12.4,12,19.4,24.7,29.3,26.7,19.6,15.7,7.7,3.9
25일,-5.1,8.6,13.9,13.3,21.1,23.3,29.6,25.7,19.8,16.5,9.7,5
26일,-5.4,7.5,15.5,14.5,20.5,22.8,30.4,25.9,20,15.9,11.1,6.9
27일,-1.4,9.2,16,16,20.2,23.1,29.8,26,19.6,13,14,0.5
28일,1.4,9.6,15.6,16.5,19.5,21.2,29.3,27.1,19.9,13.8,11.6,-3.5
29일,-2.4,,15.1,17.1,21,22.2,29.3,27.3,18,14.4,10.4,-2.2
30일,-2.1,,12.7,19,21.9,21,28.9,27.5,19.6,10.8,11.4,-0.7
31일,1.9,,14.1,,20.2,,29.8,26,,11.6,,3.9
