,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,4.7,1.5,7.9,8.4,18.1,24.2,26.4,27.6,23.6,18.1,13,0.8
2일,8.3,2.3,5.9,9.3,16,19.2,26.2,27.4,22.2,22,14.4,2.5
3일,6.2,4.3,5.7,13,17.3,21,27,28.4,22.9,21.2,15.1,5.6
4일,5.8,7.3,7.9,14.7,18.6,20.7,25.6,30.4,23.5,19.5,10.2,5.1
5일,6.5,6.5,8.2,13.7,18.2,20.5,24.8,31.3,22.9,18,10.2,0
6일,6.9,3.5,6.1,15.5,19.9,18.5,24.8,32.2,21.7,17,11.6,2.1
7일,5.6,2.6,1.9,15.2,20.6,20,25.4,31.5,21.2,20.7,14.8,4.5
8일,8.2,4.1,2,17.2,20,22.3,26.6,29.4,23.7,21.2,17.5,0.6
9일,7,0.1,6.6,14.7,14.4,23.4,27.2,27.7,24,22.1,13.3,2.7
10일,2.8,-2.2,7.5,13.5,17,22.3,27.1,28.7,24.2,23.1,15.1,4.9
11일,0.1,-1.4,8.5,12.5,19.3,21.1,26,27.1,21.7,22.5,9.2,0.4
12일,3.4,1.3,9.8,14,17.6,19.7,27.9,26.4,24.5,15.4,9,-3.8
13일,0.8,3.4,10.7,15.1,19.5,18.7,27.2,25.4,23.1,16.1,11.4,-2.5
14일,-2.8,4,9.4,15.8,20,21.5,27.8,23.5,22.3,17.2,13.1,-0.3
15일,-2.8,4.6,7,18.1,18.9,24.8,28.4,24.7,21.7,16.1,8.3,2.5
16일,0,9,7.8,17.8,17.9,22,28.8,26.8,22.6,17.1,6.4,1.3
17일,1.3,11,9.1,15.4,17.8,20.6,27.5,26.8,23,17.4,8.2,-2.4
18일,3.9,2.8,9.6,15.5,20.8,22.4,26.9,26.3,22.8,17.3,5.2,1.2
19일,2.5,5.1,10.7,16.5,22.5,24.5,28.2,26.7,23.1,17.5,2.1,2
20일,0.7,8.5,8.8,15.3,22,21.7,28.3,26.7,22.6,17.5,5.2,0.5
21일,-1.2,3,9.9,15.2,20.6,23.2,29.9,27,20.5,18,6,2.6
22일,-0.6,4.5,8.3,13.5,20.2,24,30,27.3,21.2,18.4,8.5,2.9
23일,-3.5,4.3,10.9,15,20.2,23.9,28.1,29.5,21.4,15.3,4.4,4.6
24일,-1.9,1.8,9.3,15.8,19.7,23,28.8,30.4,22.2,14.1,4.7,7.1
25일,-0.4,4.4,7.8,17.8,22.4,23.2,26.8,27.1,23,13.4,5.6,2.8
26일,1.4,5.3,6,14.3,18.4,22.8,26.8,26,23,14.4,11.3,1.7
27일,6.3,6.1,7.1,15.1,18.8,22.8,25.3,24.6,20.1,16.3,9.3,-1.5
28일,4,7.2,8.9,15.7,19.8,24,26.8,26,21.4,17.9,11.5,0.6
29일,4.2,,7.6,18.6,25.1,22.4,26.2,26.6,17.9,16.8,11.6,4.3
30일,2.3,,11.8,19.7,25.7,25.1,27.1,23,18.8,10.2,5.7,4.6
31일,0.1,,10.4,,22.2,,27.3,23.8,,11.7,,4.7
