,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-2.7,-1.1,6.2,5.9,16.6,,,,,,,
2일,-3.1,1.5,7.7,7.3,,,,,,,,
3일,-2.5,4.4,9.2,8,,,,,,,,
4일,-1.2,1.4,10.3,9.9,,,,,,,,
5일,-0.7,3.4,8.7,11.7,,,,,,,,
6일,-2.3,6.1,9.4,11.6,,,,,,,,
7일,-1,0.5,7.1,14.6,,,,,,,,
8일,-1.8,-3.9,7.1,13,,,,,,,,
9일,-3.6,-3.3,8.2,10.8,,,,,,,,
10일,-1,-2.9,8.5,8.2,,,,,,,,
11일,2.6,-1.7,6.1,10.2,,,,,,,,
12일,4.3,-0.2,4.4,12.1,,,,,,,,
13일,1.8,-0.3,3.8,12.8,,,,,,,,
14일,1.3,0.9,5.9,10.5,,,,,,,,
15일,-0.3,1,7.3,12.2,,,,,,,,
16일,-3.8,-1.4,6.1,15.5,,,,,,,,
17일,0.6,-0.6,7.3,16.9,,,,,,,,
18일,0.8,1.8,7.4,15.7,,,,,,,,
19일,2.1,1.6,11.5,14.2,,,,,,,,
20일,0.5,2.3,11.2,16.6,,,,,,,,
21일,0.1,2.3,8.5,17.4,,,,,,,,
22일,3.2,3.5,4.3,21,,,,,,,,
23일,2.7,5.9,4,19.5,,,,,,,,
24일,1.1,6.6,5.1,18.4,,,,,,,,
25일,-0.6,5.7,7.9,15.5,,,,,,,,
26일,-2.1,5.6,11.7,9.8,,,,,,,,
27일,-0.8,7,14,12.4,,,,,,,,
28일,1.7,6.5,11.2,13.1,,,,,,,,
29일,0.4,,10.9,12,,,,,,,,
30일,2.5,,5.7,16.2,,,,,,,,
31일,-0.2,,5.4,,,,,,,,,
