,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-0.6,0,8.4,7.1,17.9,,,,,,,
2일,-0.5,3,8,8.1,,,,,,,,
3일,0,5,10,9.8,,,,,,,,
4일,0.9,4.1,10.9,13.1,,,,,,,,
5일,2.4,3.3,10.1,15.2,,,,,,,,
6일,0.6,6.6,11.2,15.6,,,,,,,,
7일,1.2,3.9,8.7,13.1,,,,,,,,
8일,1.2,-0.1,8.5,13.1,,,,,,,,
9일,-1.3,0.2,10.9,9.1,,,,,,,,
10일,1.7,1,8.5,7.9,,,,,,,,
11일,3,0.6,8.2,10.5,,,,,,,,
12일,3.1,1.5,8.4,12.8,,,,,,,,
13일,1.8,2.6,5.3,13.3,,,,,,,,
14일,2,2.1,6.8,12.5,,,,,,,,
15일,2.6,4.1,6.8,14.2,,,,,,,,
16일,-1.9,1,7.6,17,,,,,,,,
17일,1.5,1.8,8.5,18,,,,,,,,
18일,2.5,4.9,9,19,,,,,,,,
19일,4.5,3.6,13.5,12,,,,,,,,
20일,3.4,3.8,12.6,17.1,,,,,,,,
21일,1.9,3.7,13.5,19.4,,,,,,,,
22일,3.9,6,7.2,17.5,,,,,,,,
23일,4.2,5.6,6,16,,,,,,,,
24일,2.8,6.9,6.6,18.1,,,,,,,,
25일,1.1,9.2,9.3,14.1,,,,,,,,
26일,-0.3,8.1,11.7,10.1,,,,,,,,
27일,0.7,9.1,15,12.6,,,,,,,,
28일,3.1,9,12.1,13.4,,,,,,,,
29일,1.6,,12.5,10.8,,,,,,,,
30일,5.2,,9.2,14.6,,,,,,,,
31일,1.4,,6.7,,,,,,,,,
