,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-0.7,-2.1,2,16,21.5,23.4,22,32.9,24.4,15.5,7.7,5.2
2일,-1,-2.7,1.1,18.3,17.8,23.4,22.8,33.4,24,15.8,9.2,8
3일,-2.4,-4.7,8.6,19.1,12.5,23.6,25.5,32.8,24.4,16,10,12.6
4일,-2.9,-7.3,15.1,13.2,15.3,23.5,26.6,31.3,23.9,19.1,10.2,9.5
5일,-0.9,-8.1,6.6,8.2,19.5,23.9,25.5,30.6,23.9,17.8,10.5,1.5
6일,-0.7,-8.2,5.6,7.8,16.3,24.6,22.2,30.8,23.7,17.9,11.5,2.7
7일,-1.4,-7.3,6.1,5,17.4,24.6,23,31.5,22,17.2,12.6,-3.7
8일,1.5,-3.8,2.9,8.2,16.5,22.5,22.3,31.2,20.8,13.8,14,-6.6
9일,-1.5,1.4,3.3,11.9,16.1,23.1,20.5,30.4,21.9,14.8,11.6,-5.8
10일,-5.1,0.5,4.1,16.2,16.7,21.6,26.2,30.9,22.1,13.9,11.1,-2.8
11일,-9.3,-3.7,7.7,15.6,17.3,20.4,28.4,30,20.7,10.7,9.5,-0.8
12일,-8.4,-4.8,8.6,13.9,15.5,21.2,29,30.1,22.3,10.8,8.8,-1.2
13일,-2.2,-0.8,12.4,13.2,17.8,22.8,28.8,31.2,21.6,11.7,8.3,-0.8
14일,-0.4,5.6,16.3,9,19.6,22.6,28.7,32.3,21.9,13.2,9,-2.7
15일,5.5,0.8,13.7,10.2,23.1,21.5,29.4,32.9,22.6,14.2,9.1,-2.5
16일,3.6,0.4,6.6,11.6,25.3,22.3,29.7,30,22.6,13,9.7,0.7
17일,4.2,-1.1,7.6,14.1,26.3,23.5,29,27,22.7,12.5,6.8,3.6
18일,3.7,-0.1,7.8,13.6,20.1,25.7,29,26.7,21.8,11.6,5.5,2.9
19일,0.3,2.5,8.3,14.6,17.6,21.3,29.2,28.2,21.4,12.2,8.6,6.7
20일,0.8,1.9,5.9,19.2,16.8,23.4,29.9,29.4,21,12.1,6.2,4.2
21일,1.1,-0.1,1.2,19.7,17.5,23.7,30.8,27.7,19.7,12.1,4.6,4.6
22일,3,0.5,5.2,16.3,18.8,25,30.9,30.8,20.9,13.4,3.8,6.6
23일,-7.3,5.5,6.3,11.4,18.9,24.5,30.8,28.8,18.9,12.7,2.4,5.4
24일,-11.7,6,8.4,12.1,18.9,26.2,31.3,25.2,16.9,12.6,3.9,-0.9
25일,-10.9,4,10.9,14.1,19.6,26.6,30.6,25.1,17.4,12.8,6.9,-0.3
26일,-11.8,4,12.4,15.5,21.8,24,30.7,21.3,18.7,11.6,6.1,1.7
27일,-8.5,6.3,13.9,16.2,20.9,25.4,31.2,23.6,18.6,10.3,7.7,-5.9
28일,-3.5,5.3,15.1,15.9,23,24.4,29.5,26.1,17.6,9.4,5.2,-8.6
29일,-6.8,,16,16.4,23.6,25.5,30.1,27.7,20,9.1,4.7,-6.1
30일,-4.4,,15.6,20.3,22.4,24.9,30.5,25.9,18.6,6.8,5.7,-5.4
31일,-0.1,,15.9,,20.9,,31.4,22.2,,8.1,,-4.7
