,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,2.3,-0.1,3.1,18.1,19.7,23.9,24.6,31.5,24.3,17.7,9.3,7.9
2일,2.2,-0.9,3.4,18.9,16.3,25,25.7,32,23.8,17.4,11.4,12.4
3일,0.2,-3.4,9.9,20,12.4,24.1,26.6,30.3,25.6,17.2,11.8,14.8
4일,-0.6,-5.9,14.8,16,14.8,22.9,26.7,30.3,24,18.9,11.9,10.5
5일,1.4,-5.6,10.7,12.4,18.4,22.2,25.3,30.1,24.3,17.8,12.7,4.8
6일,2.3,-6.5,8.9,9.3,17.2,23.7,23.5,30.8,23.3,18.6,13.2,4.1
7일,2.6,-4.2,6.8,5,18.4,24.9,24.4,30,21.2,18,13.5,-1.2
8일,3.6,-0.2,3.8,9.5,18.1,22.5,24,30.9,20.2,16.4,15,-2.8
9일,-0.1,3.8,4.8,14.1,16.8,23.5,23.6,30.3,21.2,16.2,12.6,-2.3
10일,-3.1,2.2,5.2,17.5,17,22,27.1,28.9,21.8,14.5,11.7,0.6
11일,-6,-1.9,7.7,16.5,17.8,20.6,27.8,28.9,20.3,12.3,10.9,1.5
12일,-6.4,-2.9,10.1,13.6,18.2,21.4,29.1,29.3,22.6,12.4,10.3,1.3
13일,-1.9,1.3,13.7,14.8,18.5,22.6,28.6,30.7,22.2,13,9.4,2.1
14일,1.3,5.9,16.7,10.9,20.9,22.8,28.8,31.2,22.7,14.5,10,0.5
15일,5.3,3,14.2,10.1,23.9,22.3,29.5,30.8,23.3,15.9,11.1,1
16일,4.8,2.5,8.1,11.6,24.6,22.4,29.1,28.9,23.5,14.4,10.2,2.4
17일,5.6,1.2,8.9,14,24.4,23.1,29.2,26.9,22.8,14,9,4.4
18일,5.1,3.7,9.8,13.8,20.7,24.9,29.3,26.1,22.3,12.4,7.4,4.7
19일,2.4,6.1,11.8,15.2,18.2,21.9,29.5,27.2,20.7,13.4,8.7,6.5
20일,2.9,4.8,7.7,19.3,18.5,22.9,30.8,27.2,21.3,13.6,8.6,8.2
21일,3.7,1.8,2.3,19.7,18.6,24.1,30.5,28.5,20.2,14,7.9,8.4
22일,5.3,2.3,5.8,19.4,19.4,25.1,29.5,30.2,21.2,14.7,6.2,8.8
23일,-4.1,6.3,6.9,15.3,19.1,24.6,29.7,26.6,19.6,14.2,5.5,6.2
24일,-8,6.6,9.8,14,19.6,26.4,30.5,25.4,17.9,14.1,7.7,1.8
25일,-7.5,6.5,12,15.9,21,27,30.2,24.9,18.2,14.6,8.3,3
26일,-7.9,6.3,12.9,15.9,22.3,25.7,30.4,23.6,19.6,13.3,8.7,3.8
27일,-4.6,8.3,14.5,16.2,21.8,24.5,31,24.7,19.1,11,10.1,-3.2
28일,-1.1,8,15.6,17.8,21.7,22.8,30.4,27.2,19.8,13.2,8.4,-4.9
29일,-3.9,,17,17.9,23.6,25.7,31.4,27.4,20.6,12.2,8,-3.3
30일,-2.8,,16.6,19.5,21.6,23.1,30.3,25.7,19.3,9.7,7.9,-2.4
31일,-0.4,,17.1,,20.1,,31,24.5,,9,,-1.8
