,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-0.3,-3.7,-0.6,14.1,18.5,20.9,21.9,31.4,25.9,15.7,9.9,6.3
2일,-1.4,-2.5,-1.1,16.8,14.5,20.7,22.7,31.8,25.3,16.5,11.6,9.2
3일,-4.4,-7.3,7.2,15.5,11.8,21.9,26.7,31.2,23.6,17.6,12,11.8
4일,-5,-8.9,8.7,12.1,13.5,20.4,24.9,29.5,23.3,20.1,11.7,6.5
5일,-2.8,-8.7,5.1,8.4,16.9,22.2,25.3,29.1,24.5,17.2,12.1,-0.3
6일,-2,-9.8,3.3,5.4,16.3,19.7,24.4,29.4,24.4,18.6,12.1,2.1
7일,-0.9,-7.1,6.2,4.5,17.5,19.3,23.9,30.1,21.9,16.8,12.6,-6.8
8일,0.7,-4.4,3.9,4.8,18.1,20.4,23.4,29.7,21.5,16.2,12.8,-8
9일,-3.9,0.7,3.7,7.5,14.8,21.9,21.3,28.6,21.4,16.2,12.5,-6.4
10일,-7.1,-1.2,3.6,14.4,13.2,20.3,24.1,30,23.1,12.8,12,-1.7
11일,-10.7,-5.7,4.6,10.3,13.6,19.2,26.1,30.4,21.9,11.1,8.3,0.9
12일,-9.8,-5.5,6.6,11.3,13.7,19.9,25.6,30.2,22.7,11.9,8.2,-1.4
13일,-3.3,-0.2,11.4,14.5,13.4,20.7,25.9,30.6,23.8,13.3,9,-1.6
14일,1.5,2.8,15.5,9,16.4,20.5,26.2,31,24,14.2,9.6,-3.8
15일,3.8,-1.4,10.5,9.2,22.6,21.3,26.5,30.9,23.1,15.9,10.4,-2
16일,2.7,-1.6,7.4,10.7,20.8,21.4,26.2,30.3,21.9,14.8,8.6,1.2
17일,3.2,-3,6.6,11.5,19.2,20.4,26.1,27.4,21.6,13,5.3,2.7
18일,1.6,-1,6.8,10.6,15.6,22.3,26.1,26.6,21.6,12.2,7,4.2
19일,0.9,1.3,8,12,17.9,20.2,26.2,27.1,21.3,13.3,7.9,4.7
20일,2.1,0.8,5.3,15.7,18,20.5,27,28.2,19.1,13.3,8.1,3.7
21일,-0.2,-1,2.2,16.4,17.3,20.9,28.1,25.1,19.7,13.9,6.3,5.2
22일,-0.2,1.6,4.1,15.3,17.6,23.1,30.2,29.2,21,14.6,3,5.6
23일,-11.3,3.9,5,9.9,15.8,22.2,29.6,28.2,20.3,13.8,2.8,2.5
24일,-13.7,1.3,5.6,12.1,16.6,22,29.4,23.9,18.2,14.1,4.6,-1.5
25일,-13.5,0.4,5.7,14.3,18.4,24.7,28.6,24.7,18.1,14.9,6.8,1.1
26일,-14.6,1.7,7.7,13.3,19.8,21.3,28.4,22.9,19.7,13.2,8.4,-1.9
27일,-9.7,4,10.9,13.2,18.1,20.5,28.6,23.1,19.2,9.9,8.4,-9.5
28일,-5.8,4.4,12.5,12.9,20,22.3,28.9,24.1,18.5,9.8,5.2,-9.6
29일,-7.9,,13.4,14.6,19.6,22.3,30.7,25.6,20.6,8.3,3.9,-6.8
30일,-4.1,,12.4,17.4,18,24,31.1,25.1,18.2,7.3,3.5,-6.6
31일,-2,,12.2,,19.2,,31.2,24.6,,8.1,,-4.9
