,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,0,0.6,8.8,7.1,18,,,,,,,
2일,0.6,4.5,8.9,8.5,,,,,,,,
3일,1.3,9,10.3,10.2,,,,,,,,
4일,3.8,5.8,10.9,14.4,,,,,,,,
5일,4.2,6.6,11.8,15.8,,,,,,,,
6일,2.8,9.1,11.2,14.1,,,,,,,,
7일,3,6.4,8,12.5,,,,,,,,
8일,2.3,1.5,9.7,12.3,,,,,,,,
9일,0.7,1.7,12.6,9.7,,,,,,,,
10일,3.8,2.1,9.7,8.5,,,,,,,,
11일,4.7,2.4,10,9.7,,,,,,,,
12일,5.2,3,9,12.2,,,,,,,,
13일,5.9,3.8,5.2,14.5,,,,,,,,
14일,5.6,2.6,7.7,14,,,,,,,,
15일,4.1,4.9,8.1,13.7,,,,,,,,
16일,-0.9,2.3,8.3,18.8,,,,,,,,
17일,2.4,2.6,8.4,19.5,,,,,,,,
18일,4.4,5.9,11.1,20.8,,,,,,,,
19일,7.5,5.5,14.7,11.9,,,,,,,,
20일,4.5,4.7,15.6,15.1,,,,,,,,
21일,2.4,5.4,15.1,17.3,,,,,,,,
22일,5.4,7.3,8.3,14.9,,,,,,,,
23일,6.1,7.9,6.8,16.3,,,,,,,,
24일,4.7,8.5,7.6,17.1,,,,,,,,
25일,3.1,9.8,10.8,13.1,,,,,,,,
26일,0.8,9.5,13,9.9,,,,,,,,
27일,2.8,10.3,16.6,11.8,,,,,,,,
28일,4.4,9.3,10.5,13.5,,,,,,,,
29일,4.1,,11.7,11.8,,,,,,,,
30일,7.6,,10.3,14.5,,,,,,,,
31일,3,,7.2,,,,,,,,,
