,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-1.3,-4,-0.2,15.6,20.4,23.8,21.9,33.6,25.5,15.4,8.4,5.5
2일,-1.8,-2.4,-0.7,18.4,15.1,23.4,22.6,33.7,25.1,15.9,10.6,8.2
3일,-4.7,-7.3,7.9,17.8,11.2,24,27.4,33.1,23.3,17.3,11.2,11.5
4일,-4.7,-9.5,9.8,13.4,14.1,22.6,27.3,31.1,23.2,19.3,11.6,6.7
5일,-3,-9.4,5.5,7.6,18.3,23.7,25.3,30,24,16.9,11.9,0
6일,-2.8,-10.1,4.5,5.8,16.6,23,23.9,30.5,24.1,18,12.2,2.4
7일,-0.8,-8,6.4,4.2,19.2,22.2,23.7,30.5,22,16.4,12.8,-7.3
8일,1.3,-4.4,4.6,3.9,17.5,21.9,23.3,31,21.7,14.8,11.8,-8.3
9일,-4.2,0.4,4.5,7.9,15.7,23.7,20.8,28.8,22.2,15.3,12.1,-7.2
10일,-7.5,-0.5,4.6,15.1,15.4,21.3,23.7,30.7,22.9,12,11.9,-2.5
11일,-11.1,-6.1,6.4,12.6,16.1,20.2,26.8,31,21.6,9.7,8.1,0.2
12일,-10.2,-5.8,8,13.3,14.2,21.3,26.6,30.6,22.8,10.9,8.1,-1.9
13일,-4.4,-0.8,12.4,14.6,15.8,22,27.3,30.5,23.5,12.5,8.8,-2.2
14일,0.6,3.5,17,9,18.2,21.6,27.9,31.7,23.5,13.2,9.8,-4.4
15일,4.7,-0.7,12.4,9.5,23.2,21.7,28.3,31.7,23.3,15.2,9.7,-2.4
16일,3.5,-1.1,7.1,11.6,22.3,22.5,28.7,29.9,22.2,14.5,8.8,0
17일,4.5,-3,6.6,12.9,20.9,22.8,28.1,27.2,22.3,12.4,4.9,1.6
18일,2.1,-0.4,8.2,12.4,16.3,24.8,28.2,26.7,22,12.7,6.1,2.6
19일,1,1.8,8,14,17.6,22.4,28.7,28.2,22.1,13.1,6.5,4
20일,2.2,0.9,4.7,18.4,17,22.7,29.5,29.1,19,13.4,6.5,3.4
21일,0.4,-0.9,2.1,18.7,17.8,23.7,30.6,26.6,19.4,13.4,5.8,5.6
22일,0.2,1.3,4.9,15.5,18.1,25,31.8,30.7,20.8,14,2.3,6.9
23일,-11.7,4.2,6.1,9.3,17.3,24.5,31.7,29.4,19.4,12.2,1.9,2.4
24일,-14.2,2.4,7.6,12.1,18.3,25.2,31.4,24.4,17.6,12.5,2.6,-2.3
25일,-14,1.9,9.6,14.6,19.7,27.1,30.1,25.2,17.8,13.8,4.8,0.6
26일,-14.8,3.1,11,14.9,21.8,22.3,30.1,23.2,19.4,12.2,6.3,-1.5
27일,-9.9,4.2,13.3,15.7,20.3,22.3,30.9,22.7,18.9,8.7,7.1,-10.1
28일,-6.3,4.6,14,15.4,22.3,23.3,29.5,23.7,17.5,8.3,5,-10.5
29일,-8.5,,15.4,16.2,21.4,24.7,31.3,25.2,20.2,7.2,3.5,-7.6
30일,-5.3,,14.8,19.2,20.2,24.4,31.7,25.3,17.6,6.1,2.7,-6.8
31일,-2.6,,14,,20.9,,32.6,25.6,,7.4,,-5.4
