,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,-4.4,-2.2,4.8,5.1,14.3,,,,,,,
2일,-5.3,1.5,6.1,6.2,,,,,,,,
3일,-3.7,3.7,8.1,6.7,,,,,,,,
4일,-2.3,-0.3,7.7,8.9,,,,,,,,
5일,-2.4,1.3,7.3,10.1,,,,,,,,
6일,-3.5,4.8,7.2,9.7,,,,,,,,
7일,-2.6,-0.9,5.7,13,,,,,,,,
8일,-2.8,-5.1,4.8,11.4,,,,,,,,
9일,-4.6,-4.2,6.5,9.5,,,,,,,,
10일,-1.2,-4.3,10.1,7.4,,,,,,,,
11일,2.2,-2.5,5.4,8.3,,,,,,,,
12일,2.4,-0.1,4.3,9.9,,,,,,,,
13일,0.2,-1.4,3.9,11,,,,,,,,
14일,0,-0.2,4.7,9.2,,,,,,,,
15일,-1.1,-0.6,5.5,10.2,,,,,,,,
16일,-4.5,-1.7,4.6,14.2,,,,,,,,
17일,-0.4,-1.9,5.4,14.5,,,,,,,,
18일,-0.4,0.3,5.9,12.7,,,,,,,,
19일,2.4,1.1,9,14.1,,,,,,,,
20일,-0.4,1.5,10.1,15,,,,,,,,
21일,-1.3,0.9,7.3,14.3,,,,,,,,
22일,0.4,2.3,4.4,18.1,,,,,,,,
23일,1.5,4.9,3.1,19.1,,,,,,,,
24일,-0.8,5,3.8,18.2,,,,,,,,
25일,-1.2,3.8,7,13.9,,,,,,,,
26일,-2.6,4.2,10.4,8.7,,,,,,,,
27일,-0.9,6.7,11.6,11.4,,,,,,,,
28일,1.7,5,9.2,12.1,,,,,,,,
29일,-0.7,,9.5,12,,,,,,,,
30일,2,,5.4,14.7,,,,,,,,
31일,-1.1,,4.7,,,,,,,,,
