,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1일,2.1,1.7,7.1,17,18.4,21.1,24.4,28.6,22.3,17.2,9.7,8.8
2일,3.7,1.2,3.6,19.3,14.7,23.1,25.8,28.4,21.7,16.5,11.2,11.1
3일,0.9,-1.6,9.5,19.8,14.8,22.7,22.8,29.9,24.1,16.8,11.8,16
4일,1.4,-5.5,13,9.9,16.4,22,24.7,31.6,24.5,19.2,12.9,13.7
5일,3.3,-5.3,5.5,9.3,19.3,20.3,22,31.8,23.9,19.2,13.1,7.9
6일,1.9,-6.1,5.2,10.1,16.4,21.4,19.7,28.8,23.3,21.7,14.6,6.3
7일,3.5,-4.4,6.3,6.1,14.7,22.1,18.4,26.7,22.2,20.2,16,-0.7
8일,4.5,-0.1,3.6,8.6,13.3,23.5,18.2,26.6,20.7,16.4,16.4,-3.1
9일,1.1,5.4,3.5,12.6,11.7,19.3,19.1,27.5,21.1,16.4,14.5,-1.9
10일,-1.8,5.5,6.8,15.9,14.3,18.1,23.3,25.1,21,16,13.3,1.9
11일,-5.6,-1.7,8.6,19.9,18.1,15.9,26.3,26.3,20.8,12.5,13.3,4.1
12일,-5.5,-1.7,11.1,17.4,17.9,17.1,28.7,27.6,21.3,12.2,11.7,1.5
13일,-1,1.1,14,12.7,20.1,18.5,28.4,29.4,21.2,15,11.7,2.5
14일,2.5,9.1,16.3,11.2,20,19,28.8,29.3,21.5,15.1,10.7,-0.1
15일,7.9,5.8,14.5,12.8,23.5,18.3,28.9,26.9,22.2,15.6,10.9,2.1
16일,7.1,5,4,11.9,23.8,17.2,30.2,24.9,23.6,15.2,11.4,1
17일,5.5,2.5,5.5,13.3,24.7,20.3,29.6,24.3,22.8,14.9,10.9,3.8
18일,6.1,2.7,10.3,15,15.1,22.5,29.4,23.6,22.8,13.7,9.1,4.3
19일,4.2,5.5,9,17.7,13.8,22,29,23.7,21.7,14,9.2,8.7
20일,4.1,6.9,5.3,19.8,14.2,22.3,29.4,24.9,20.2,13.2,8.4,7.8
21일,4.5,3.1,2.2,20.3,15,24.2,28.8,27.6,19.8,13.5,9.2,9.3
22일,5.3,2.3,5.5,15.4,17.1,23.5,29.7,28.9,21.7,15.4,6,10.6
23일,-3,6.2,8.2,11.1,17.8,23.3,30.8,27.6,21.2,17,4.5,7.9
24일,-8.2,7.2,12.1,11.1,21.6,26.7,30.7,28.2,18,14.3,4.2,2.2
25일,-7,6.6,15.3,12.6,23,26.4,30.8,25.6,18,14.4,7.5,3
26일,-7.8,5,15.7,13.3,20.6,24.7,31,21.8,19,14.2,9.5,6
27일,-3.2,8.8,17,15.7,19.8,25.4,29.6,24.3,18.6,12,11.1,-1.6
28일,0.2,8.5,17,17.6,20.5,21.7,28,25.7,18,12.5,9.2,-4.4
29일,-3.6,,14.6,18.5,21,23.7,27.5,27.3,17.5,12.5,8.7,-3.1
30일,-2.5,,11.4,20.4,20.7,22,27.9,27.8,18.8,9.7,10,-1.8
31일,1.7,,13.4,,19.3,,27.6,24.9,,10.2,,2.2
